Пользователь,Дата,Тип документа,Комментарий,Штрихкод
user,2025-08-14T15:13:16.797020,Инвентаризация,,4820017000833
user,2025-08-14T15:13:16.797020,Инвентаризация,,4820017000833
user,2025-08-14T15:13:16.797020,Инвентаризация,,4820017000833
